,Title,Genre,Developer,Publisher,Release date JP,Release date EU,Release date NA,Addons
978,Get Even,First-person shooter,The Farm 51,Bandai Namco Entertainment,"Aug 8, 2017","Jun 23, 2017","Jun 23, 2017",P
979,Ghost 1.0,Metroidvania,Francis Cota,Unepic Games,Unreleased,"Jul 19, 2019","Apr 8, 2019",
980,Ghost Blade HD,Action,Hucast,2Dream,"Sep 1, 2017","Feb 28, 2017","Feb 28, 2017",
981,Ghostbusters: The Video Game Remastered,Action-adventure,Saber Interactive,"JP: H2 Interactive
WW: Mad Dog Games","Dec 12, 2019","Oct 4, 2019","Oct 4, 2019",
982,Ghost of a Tale,"Adventure, stealth",SeithCG,SeithCG,Unreleased,"Mar 12, 2019","Mar 12, 2019",P
983,Ghost of Tsushima,Action-adventure,Sucker Punch Productions,Sony Interactive Entertainment,"Jul 17, 2020","Jul 17, 2020","Jul 17, 2020",P
984,Ghostrunner,"Action
platform",One More Level,"All in! Games
505 Games","Jan 28, 2021","Oct 27, 2020","Oct 27, 2020",
985,Ghoulboy: Dark Sword of Goblin,Action platformer,Serkan Bakar,Hidden Trap,"Apr 11, 2019","Sep 25, 2019","Mar 5, 2019",
986,G.I. Joe: Operation Blackout,Third-person shooter,IguanaBee,GameMill Entertainment,Unreleased,"Oct 13, 2020","Oct 13, 2020",
987,Giana Sisters: Twisted Dreams - Director's Cut,Platform,Black Forest Games,Black Forest Games,"Apr 7, 2020","Dec 9, 2014","Dec 9, 2014",
988,Giga Wrecker Alt.,Platformer,Game Freak,Rising Star Games,"Oct 24, 2019","Apr 30, 2019","Apr 30, 2019",
989,Ginga Force,Shoot 'em up,Qute Corporation,Rising Star Games,"Jul 3, 2020","Sep 24, 2020","Sep 24, 2020",
990,Giraffe and Annika,"Action-adventure
rhythm",Atelier Mimina,NIS America,"Aug 27, 2020","Aug 28, 2020","Aug 25, 2020",
991,Girls und Panzer: Dream Tank Match,Action,Bandai Namco Entertainment,Bandai Namco Entertainment,"Feb 22, 2018",Unreleased,Unreleased,
992,Glass Masquerade,Puzzle,Onyx Lute,Digerati,Unreleased,"Feb 6, 2019","Feb 6, 2019",
993,Glass Masquerade 2,Puzzle,Onyx Lute,Digerati,Unreleased,"Feb 12, 2020","Feb 11, 2020",
994,Glitched,Role-playing,En House Studios,En House Studios,Unreleased,TBA,TBA,
995,Gnog,"Adventure, puzzle",KO_OP,KO_OP,"May 2, 2017","May 2, 2017","May 2, 2017",VR
996,Goat Simulator,Action,Coffee Stain Studios,Coffee Stain Studios,"Oct 7, 2015","Aug 11, 2015","Aug 11, 2015",
997,God Eater Resurrection,Action role-playing,Bandai Namco Entertainment,Bandai Namco Entertainment,"Oct 29, 2015","Aug 30, 2016","Jun 29, 2016",CP
998,God Eater 2: Rage Burst,Action role-playing,Bandai Namco Entertainment,Bandai Namco Entertainment,"Feb 5, 2015","Aug 30, 2016","Aug 30, 2016",CP
999,God Eater 3,Action role-playing,Shift,Bandai Namco Entertainment,"Dec 13, 2018","Feb 8, 2019","Feb 8, 2019",
1000,God of War III Remastered,Action-adventure,SCE Santa Monica Studio,Sony Computer Entertainment,"Jul 16, 2015","Jul 15, 2015","Jul 14, 2015",
1001,God of War,Action-adventure,SIE Santa Monica Studio,Sony Interactive Entertainment,"Apr 20, 2018","Apr 20, 2018","Apr 20, 2018",P
1002,God Wars: Future Past,Tactical role-playing,Kadokawa Games,Kadokawa Games,"Jun 22, 2017","Jun 16, 2017","Jun 20, 2017",
1003,God's Trigger,Top-down shooter,One More Level,Techland,Unreleased,"Apr 18, 2019","Apr 18, 2019",
1004,Godzilla: The Game,Action-adventure,Bandai Namco Entertainment,Bandai Namco Entertainment,"Jul 16, 2015","Jul 14, 2015","Jul 14, 2015",
1005,Going Under,Action,Aggro Crab Games,Team17,"Sep 24, 2020","Sep 24, 2020","Sep 24, 2020",
1006,Golden Force,"Action-adventure
platform",Storybird Studio,"Just For Games
PixelHeart",Unreleased,Q4 2020,Q4 2020,
1007,The Golf Club,Sports,HB Studios,HB Studios,"Feb 2, 2018","Aug 26, 2014","Aug 26, 2014",
1008,The Golf Club 2,Sports,HB Studios,HB Studios,Unreleased,"Jun 27, 2017","Jun 27, 2017",
1009,"<span data-sort-value=""Golf Club 2019 !"">The Golf Club 2019 featuring PGA Tour",Sports,HB Studios,2K Sports,"Oct 5, 2018","Aug 28, 2018","Aug 28, 2018",
1010,Golf with Your Friends,Sports,Blacklight Interactive,Team17,"May 21, 2020","May 19, 2020","May 19, 2020",
1011,Gone Home,Adventure,The Fullbright Company,Midnight City,"Nov 2, 2016","Feb 12, 2016","Jan 12, 2016",
1012,Gonner,Roguelike,Art in Heart,Raw Fury,"May 24, 2018","May 15, 2018","May 15, 2018",
1013,Gonner 2,Roguelike,Art in Heart,Raw Fury,Unreleased,2020,2020,
1014,Goodbye Deponia,Point-and-click adventure,Daedalic Entertainment,Daedalic Entertainment,Unreleased,"Jan 30, 2019","Jan 30, 2019",
1015,Goodbye Volcano High,Adventure,KO_OP,KO_OP,Unreleased,2021,2021,
1016,Goosebumps: The Game,Point-and-click adventure,WayForward,WayForward,Unreleased,"Oct 13, 2015","Oct 13, 2015",
1017,Gotham Knights,Action role-playing,WB Games Montréal,WB Games,2021,2021,2021,
1018,Gothic Murder: Adventure That Changes Destiny,Visual novel,Orange,Orange,"Jul 29, 2020","Sep 24, 2020","Sep 24, 2020",
1019,Grab the Bottle,"Action, puzzle",Kamina Dimension,Sometimes You,Unreleased,"Jun 20, 2018","Jun 20, 2018",P
1020,Graceful Explosion Machine,Shoot 'em up,Vertex Pop,Vertex Pop,"Aug 8, 2017","Aug 8, 2017","Aug 8, 2017",
1021,Granblue Fantasy: Relink,Action role playing,Cygames,Cygames,TBA,Unreleased,Unreleased,
1022,Granblue Fantasy Versus,Fighting,Arc System Works,"JP: Cygames
NA: Xseed Games
EU: Marvelous Europe","Feb 6, 2020","Mar 27, 2020","Mar 3, 2020",
1023,Grand Ages: Medieval,Grand strategy wargame,Gaming Minds Studios,Kalypso Media,"Jun 9, 2016","Oct 9, 2015","Oct 13, 2015",
1024,Grand Kingdom,Tactical role-playing,MonoChro,Spike Chunsoft,"Nov 19, 2015","Jun 17, 2016","Jun 21, 2016",CP
1025,Grand Prix Rock N Racing,Racing,Unfinished Pixel,Unfinished Pixel,Unreleased,"Oct 7, 2016","Oct 7, 2016",
1026,Grand Prix Story,Simulation,Kairosoft,Kairosoft,"Oct 15, 2020","Oct 15, 2020","Oct 15, 2020",
1027,Grand Theft Auto V,"Action-adventure
open world",Rockstar North,Rockstar Games,"Dec 11, 2014","Nov 18, 2014","Nov 18, 2014",
1028,Gran Turismo Sport,Racing,Polyphony Digital,Sony Computer Entertainment,"Oct 19, 2017","Oct 18, 2017","Oct 17, 2017",P VR
1029,Gravel,Racing,Milestone s.r.l.,Milestone s.r.l.,"Feb 27, 2018","Feb 27, 2018","Feb 27, 2018",
1030,Graven,First-person shooter,Slipgate Ironworks,3D Realms,2021,2021,2021,
1031,Graveyard Keeper,"Role-playing
simulation",Lazy Bear Games,TinyBuild,Unreleased,"Jun 27, 2019","Jun 27, 2019",
1032,Gravity Ghost: Deluxe Edition,Physics based puzzler,Ivy Games,Ivy Games,Unreleased,Unreleased,"Aug 6, 2019",
1033,Gravity Rush Remastered,Action role-playing,SCE Japan Studio,Sony Computer Entertainment,"Nov 12, 2015","Feb 10, 2016","Feb 9, 2016",
1034,Gravity Rush 2,Action role-playing,SIE Japan Studio,Sony Interactive Entertainment,"Jan 19, 2017","Jan 20, 2017","Jan 20, 2017",P
1035,GreedFall,Action role-playing,Spiders,Focus Home Interactive,"Sep 10, 2019","Sep 10, 2019","Sep 10, 2019",
1036,Green Hell,Survival,Creepy Jar,Creepy Jar,Unreleased,2020,2020,
1037,Grid,Racing,Codemasters,Codemasters,Unreleased,"Oct 11, 2019","Oct 11, 2019",
1038,Gridd: Retroenhanced,Shoot 'em up,Antab Studio,Kongregate,Unreleased,"Oct 23, 2018","Oct 23, 2018",P
1039,Grim Fandango Remastered,Graphic adventure,Double Fine Productions,Disney Interactive Studios,"Nov 2, 2016","Jan 28, 2015","Jan 27, 2015",
1040,Grim Legends: The Forsaken Bride,"Puzzle
hidden object",Artifex Mundi,Artifex Mundi,Unreleased,"Feb 28, 2017","Feb 28, 2017",
1041,Grim Legends 2: Song of the Dark Swan,"Puzzle
hidden object",Artifex Mundi,Artifex Mundi,Unreleased,"Aug 29, 2017","Aug 29, 2017",
1042,Grim Legends 3: The Dark City,"Puzzle
hidden object",Artifex Mundi,Artifex Mundi,Unreleased,"May 11, 2018","May 11, 2018",
1043,Grip: Combat Racing,Racing,Caged Element,Caged Element,"Mar 28, 2019","Nov 6, 2018","Nov 6, 2018",P
1044,Gris,Platform-adventure,Nomada Studio,"JP: GHI Media
WW: Devolver Digital","Dec 12, 2019","Nov 26, 2019","Nov 26, 2019",P
1045,Grood,Shoot 'em up,CC_ARTS,Drageus Games,Unreleased,"Oct 23, 2020","Oct 23, 2020",
1046,Grow Home,"Adventure, platform",Ubisoft,Ubisoft,"Sep 2, 2015","Sep 1, 2015","Sep 1, 2015",
1047,Grow Up,Adventure,Ubisoft Reflections,Ubisoft,"Aug 17, 2016","Aug 16, 2016","Aug 16, 2016",
1048,Guacamelee! Super Turbo Championship Edition,"Beat 'em up
platform",DrinkBox Studios,DrinkBox Studios,Unreleased,"Jul 2, 2014","Jul 2, 2014",
1049,Guacamelee! 2,"Beat 'em up
platform",DrinkBox Studios,DrinkBox Studios,Unreleased,"Aug 21, 2018","Aug 21, 2018",
1050,Guard Duty,Point & click adventure,Sick Chicken Studios,Ratalaika Games,Unreleased,"Apr 21, 2020","Apr 21, 2020",
1051,Guardians of the Galaxy: The Telltale Series,Graphic adventure,Telltale Games,Telltale Games,Unreleased,"Apr 18, 2017","Apr 18, 2017",
1052,Guild of Darksteel,"Adventure
side-scrolling",Igor Sandman,Digerati,Unreleased,2021,2021,
1053,Guilty Gear,Fighting,Arc System Works,Arc System Works,"May 16, 2019","May 22, 2019","May 16, 2019",
1054,Guilty Gear Strive,Fighting,Arc System Works,Arc System Works,"Apr 9, 2021","Apr 9, 2021","Apr 9, 2021",
1055,Guilty Gear Xrd: Revelator,Fighting,Arc System Works,Arc System Works,"May 26, 2016","Jun 10, 2016","Jun 7, 2016",CP
1056,Guilty Gear Xrd: Sign,Fighting,Arc System Works,Aksys Games,"Feb 20, 2014","Jun 3, 2015","Dec 16, 2014",CP
1057,Guitar Hero Live,"Music, rhythm",FreeStyleGames,Activision,Unreleased,"Oct 23, 2015","Oct 20, 2015",
1058,Gundam Breaker 3,Mech-combat,Bandai Namco Entertainment,Bandai Namco Entertainment,"Mar 3, 2016",Unreleased,Unreleased,
1059,Gundam Versus,Mech-combat,Bandai Namco Entertainment,Bandai Namco Entertainment,"Jul 6, 2017","Sep 29, 2017","Sep 29, 2017",
1060,Gungrave G.O.R.E.,Third-person shooter,Iggymob,Iggymob,2020,2020,2020,
1061,Gunhead,"Action, shooter",Alientrap,Alientrap,Unreleased,TBA,TBA,
1062,Gunlord X,Action platformer,NGDEV,EastAsiaSoft,"Dec 13, 2019","Dec 11, 2019","Dec 10, 2019",
1063,Gunman Clive HD Collection,"Action
platform",Horberg Productions,"JP: Flyhigh Works
WW: Hörberg Productions","May 22, 2020","May 22, 2020","May 22, 2020",
1064,"Guns, Gore and Cannoli","Action
platform",Crazy Monkey Studios,"JP: IntraGames
WW: Crazy Monkey Studios","Jul 1, 2016","Dec 8, 2015","Dec 8, 2015",
1065,"Guns, Gore and Cannoli 2","Action
platform",Crazy Monkey Studios,"JP: IntraGames
WW: Crazy Monkey Studios","Aug 9, 2018","Aug 14, 2018","Aug 14, 2018",
1066,Gunscape,First-person shooter,Blowfish Studios,Blowfish Studios,Unreleased,"Mar 1, 2016","Mar 1, 2016",
1067,Guns of Icarus Alliance,"Action
strategy",Muse Games,Muse Games,Unreleased,"May 1, 2018","May 1, 2018",CP
1068,Gunvolt Chronicles: Luminous Avenger iX,"Action
platform",Inti Creates,Inti Creates,"Sep 26, 2019","Sep 26, 2019","Sep 26, 2019",
1069,.hack//G.U. Last Recode,Action role-playing,CyberConnect2,Bandai Namco Entertainment,"Nov 1, 2017","Nov 3, 2017","Nov 3, 2017",P
1070,Hakoniwa Company Works,"Role-playing, sandbox",Nippon Ichi Software,Nippon Ichi Software,"Jul 13, 2017",Unreleased,Unreleased,
1071,Hammerwatch,Hack and slash,Crackshell,Blitworks,Unreleased,"Dec 20, 2017","Dec 19, 2017",
1072,Hand of Fate,Action role-playing,Defiant Development,Defiant Development,"Feb 17, 2015","Feb 17, 2015","Feb 17, 2015",
1073,Hand of Fate 2,Action role-playing,Defiant Development,Defiant Development,"Nov 7, 2017","Nov 7, 2017","Nov 7, 2017",P
1074,Hard Reset Redux,First-person shooter,Flying Wild Hog,Gambitious Entertainment,"Jun 3, 2016","Jun 3, 2016","Jun 3, 2016",
1075,Hard West: Ultimate Edition,Turn-based tactics,CreativeForge Games,Forever Entertainment,Unreleased,"Jun 28, 2020","Jun 28, 2020",P
1076,Hardcore Mecha,Action,RocketPunch,"JP: Arc System Works
WW: RocketPunch","Jun 27, 2019","Jan 14, 2020","Jan 14, 2020",
1077,Hardspace: Shipbreaker,Simulation,Blackbird Interactive,Focus Home Interactive,TBA,TBA,TBA,
1078,Hardware: Rivals,Vehicular combat,Connected Content Group,Sony Computer Entertainment,"Feb 3, 2016","Jan 5, 2016","Jan 5, 2016",
1079,Harvest Moon: Light of Hope,"Life
farm simulation",Natsume,Natsume,Unreleased,"Jun 22, 2018","May 29, 2018",
1080,Harvest Moon: Mad Dash,"Life
farm simulation",Natsume,"JP: Natsume
EU: Rising Star Games","Oct 29, 2019","Oct 29, 2019","Oct 29, 2019",
1081,Harvest Moon: One World,"Life
farm simulation",Natsume,Natsume,Unreleased,"Mar 2, 2021","Mar 5, 2021",
1082,Hatoful Boyfriend,Visual novel,Mediatonic,Devolver Digital,"Jul 21, 2015","Jul 22, 2015","Jul 21, 2015",
1083,Hatsune Miku: Project Diva Future Tone,Rhythm,Sega,Sega,"Jun 23, 2016","Jan 10, 2017","Jan 10, 2017",
1084,Hatsune Miku: Project Diva X,Rhythm,Sega,Sega,"Aug 25, 2016","Aug 30, 2016","Aug 30, 2016",P
1085,Haven,"Adventure
role-playing",The Game Bakers,The Game Bakers,2021,2021,2021,
1086,Headlander,Action-adventure,Double Fine Productions,Adult Swim Games,"Jul 26, 2016","Jul 26, 2016","Jul 26, 2016",
1087,Headliner: NoviNews,Simulation,Unbound Creations,Chorus Worldwide,"Dec 12, 2019","Dec 11, 2019","Dec 10, 2019",
1088,Headsnatchers,"Action
party",IguanaBee,Iceberg Interactive,Unreleased,"Jul 28, 2020","Jul 28, 2020",
1089,Heart&Slash,3D brawler,aheartfulofgames,BadLand Games,"Oct 31, 2016","Jun 24, 2016","Jun 28, 2016",
1090,Heavenly Bodies,"Space
simulation",2pt Interactive,2pt Interactive,Unreleased,2021,2021,
1091,Heaven's Vault,Adventure,Inkle,Inkle,Unreleased,"Apr 16, 2019","Apr 16, 2019",
1092,Heavy Rain,Interactive drama,Quantic Dream,Sony Computer Entertainment,"Jun 1, 2016","Mar 2, 2016","Mar 1, 2016",
1093,Hellblade: Senua's Sacrifice,"Action, hack and slash",Ninja Theory,Ninja Theory,Unreleased,"Aug 8, 2017","Aug 8, 2017",P
1094,Helldivers,Shoot 'em up,Arrowhead Studios,Sony Computer Entertainment,"Mar 5, 2015","Mar 4, 2015","Mar 3, 2015",CP
1095,Hellfront: Honeymoon,Shoot 'em up,Skygoblin,Thunderful Publishing,Unreleased,"Dec 19, 2018","Dec 19, 2018",
1096,Hellmut: The Badass from Hell,"Shooter
roguelike","Grindstone
Volcani",2Tainment,Unreleased,"Dec 17, 2019","Jun 6, 2019",
1097,Hellpoint,Action role-playing,Cradle Games,TinyBuild,Unreleased,"Jul 30, 2020","Jul 30, 2020",
1098,Here They Lie,Horror,Tangentlemen,Sony Interactive Entertainment,Unreleased,"Oct 13, 2016","Oct 13, 2016",VR
1099,Her Majesty's Spiffing,Point-and-click adventure,Billy Goat Entertainment,Billy Goat Entertainment,"Dec 13, 2016","Dec 13, 2016","Dec 13, 2016",
1100,Hero Defense,Tower defense,Happy Tuesday,Headup Games,Unreleased,"Aug 16, 2018","Aug 16, 2018",
1101,Hero Must Die. Again,"Role-playing
turn-based strategy","Pyramid
G-Mode",Degica Games,"Feb 26, 2020","Feb 26, 2020","Feb 26, 2020",
1102,Hero Siege,"Action role-playing
hack and slash",Panic Art Studios,Panic Art Studios,TBA,TBA,TBA,CP
1103,Heroes of Hammerwatch - Ultimate Edition,"Action
roguelike",Crackshell,Blitworks,Unreleased,TBA,TBA,
1104,Heroland,Role-playing,Netchubiyori,"JP: FuRyu
WW: Xseed Games","Feb 28, 2018","Dec 3, 2019","Dec 3, 2019",
1105,H-Hour: World's Elite,Tactical shooter,SOF Studios,SOF Studios,TBA,TBA,TBA,
1106,Hidden Agenda,Interactive drama,Supermassive Games,Sony Interactive Entertainment,"Nov 22, 2017","Oct 24, 2017","Nov 22, 2017",PL
1107,Hidden Through Time,"Puzzle
hidden object",Crazy Monkey Studios,Crazy Monkey Studios,Unreleased,"Mar 12, 2020","Mar 12, 2020",
1108,Hindsight 20/20,Action-adventure,Triple-I Games,Triple-I Games,2020,2020,2020,
1109,Hitman,Stealth,IO Interactive,Square Enix,"Aug 10, 2017","Mar 11, 2016","Mar 11, 2016",P
1110,Hitman 2,Stealth,IO Interactive,WB Games,"Nov 13, 2018","Nov 13, 2018","Nov 13, 2018",P
1111,Hitman III,Stealth,IO Interactive,IO Interactive,"Jan 20, 2021","Jan 20, 2021","Jan 20, 2021",P VR
1112,Hitman Go,Puzzle,Square Enix Montréal,Square Enix,"Feb 23, 2016","Feb 23, 2016","Feb 23, 2016",
1113,Hob,Action-adventure,Runic Games,Sony Interactive Entertainment,"Sep 26, 2017","Sep 26, 2017","Sep 26, 2017",
1114,Hogwarts Legacy,Action-role playing,Avalanche Software,Portkey Games,2021,2021,2021,
1115,Hohokum,Adventure,Honeyslug,Sony Computer Entertainment,"Aug 13, 2014","Aug 13, 2014","Aug 12, 2014",
1116,Hollow Knight,Metroidvania,Team Cherry,Team Cherry,"Sep 26, 2018","Sep 26, 2018","Sep 26, 2018",
1117,Holy Potatoes! A Weapon Shop?!,"Adventure
strategy",Daylight Studios,Rising Star Games,Unreleased,"Jul 11, 2018","Jul 12, 2018",
1118,Holy Potatoes! We're in Space?!,"Adventure
strategy",Daylight Studios,Rising Star Games,Unreleased,"Jan 15, 2019","Jan 15, 2019",
1119,Holy Potatoes! What the Hell?!,"Adventure
strategy",Daylight Studios,Rising Star Games,Unreleased,"Jun 5, 2020","Jun 4, 2020",
1120,Home,Survival horror,Benjamin Rivers,Benjamin Rivers,Unreleased,"Apr 15, 2015","Nov 4, 2014",
1121,Home Free,Role-playing,Kevin Cancienne,Kevin Cancienne,TBA,TBA,TBA,
1122,Homefront: The Revolution,First-person shooter,Deep Silver Dambuster,Deep Silver,"May 19, 2016","May 20, 2016","May 17, 2016",
1123,The Hong Kong Massacre,Top-down shooter,Vreski,Captain Rogue,Unreleased,"Jan 22, 2019","Jan 29, 2019",
1124,Hood: Outlaws & Legends,"Stealth
action",Sumo Digital,Focus Home Interactive,2021,2021,2021,
1125,HoPiKo,Platform,Laser Dog,Merge Games,Unreleased,"Sep 21, 2016","Oct 18, 2016",
1126,Horizon Chase Turbo,Racing,Aquiris Studio,Aquiris Studio,"Dec 19, 2019","May 15, 2018","May 15, 2018",
1127,Horizon Forbidden West,Action role-playing,Guerrilla Games,Sony Interactive Entertainment,2021,2021,2021,
1128,Horizon Zero Dawn,Action role-playing,Guerrilla Games,Sony Interactive Entertainment,"Mar 2, 2017","Mar 1, 2017","Feb 28, 2017",P
1129,Horned Knight,Action platformer,Josep Monzonis Hernandez,2Awesome Studio,Unreleased,2020,2020,
1130,Hotline Miami,Top-down shooter,Dennaton Games,Devolver Digital,"Jun 25, 2015","Aug 20, 2014","Aug 19, 2014",
1131,Hotline Miami 2: Wrong Number,Top-down shooter,Dennaton Games,Devolver Digital,"Jun 25, 2015","Mar 11, 2015","Mar 10, 2015",
1132,Hot Springs Story,Business simulation,Kairosoft,Kairosoft,"Dec 5, 2019",Unreleased,Unreleased,
1133,Hotshot Racing,Racing,Lucky Mountain Games,Sumo Digital,Unreleased,"Sep 10, 2020","Aug 13, 2020",
1134,House Flipper,Simulation,Empyrean,Frozen District,"Feb 27, 2019","Feb 25, 2019","Feb 25, 2019",
1135,The House in Fata Morgana: Dream of the Revenants Edition,Visual novel,Novectacle,Limited Run Games,"Oct 24, 2019","Jun 11, 2019","Jun 11, 2019",P
1136,How to Survive: Storm Warning Edition,"Action role-playing, survival",Eko Software,505 Games,"Apr 8, 2015","Oct 29, 2014","Nov 4, 2014",
1137,How to Survive 2,"Action role-playing, survival",Eko Software,505 Games,"Feb 6, 2017","Feb 6, 2017","Feb 6, 2017",
1138,Hue,Puzzle platformer,Fiddlesticks,Curve Digital,Unreleased,"Aug 30, 2016","Aug 23, 2016",
1139,Human: Fall Flat,"Physics, puzzle",No Brakes Games,Curve Digital,"May 23, 2019","May 9, 2017","May 9, 2017",
1140,Humanity,Action,Tha,Enhance Games,Unreleased,2020,2020,VR
1141,Huntdown,"Arcade
shooter",Easy Trigger Games,Coffee Stain Publishing,Unreleased,"May 12, 2020","May 12, 2020",
1142,Hunt: Showdown,First-person shooter,Crytek,Crytek,Unreleased,"Feb 18, 2020","Feb 18, 2020",CP P
1143,The Huntsman: Winter's Curse,"Adventure, role-playing",Desert Owl Games,Desert Owl Games,Unreleased,"Aug 23, 2016","Aug 16, 2016",
1144,Hyper Jam,Arena brawler,Bit Dragon,Bit Dragon,Unreleased,"Feb 13, 2019","Feb 12, 2019",P
1145,Hyper Light Drifter,Action role-playing,Heart Machine,Heart Machine,"May 25, 2017","Jul 26, 2016","Jul 26, 2016",
1146,Hyper Void,Shooter,IN|Framez,IN|Framez,"Sep 8, 2015","Sep 8, 2015","Sep 8, 2015",VR
1147,HyperParasite,"Twin-stick shooter
roguelike",Troglobytes Games,Troglobytes Games,"Apr 3, 2020","Apr 3, 2020","Apr 3, 2020",
1148,Hypnospace Outlaw,"Simulation
puzzle",Tendershoot,No More Robots,Unreleased,"Aug 27, 2020","Aug 27, 2020",
1149,I Am Bread,Puzzle,Bossa Studios,Bossa Studios,"Dec 25, 2015","Aug 25, 2015","Aug 25, 2015",
1150,I Am Setsuna,Role-playing,Tokyo RPG Factory,Square Enix,"Feb 18, 2015","Jul 19, 2016","Jul 19, 2016",
1151,Ice Age: Scrat’s Nutty Adventure,"Action, Adventure",Outright Games,Outright Games,Unreleased,"Oct 18, 2019","Oct 18, 2019",
1152,Icewind Dale: Enhanced Edition,Role-playing,Beamdog,Skybound Games,Unreleased,"Sep 27, 2019","Sep 24, 2019",
1153,Icey,Hack and slash,X.D. Network,X.D. Network,Unreleased,Unreleased,"Aug 8, 2017",
1154,Iconoclasts,"Action
platform",Konjak,Bifrost Entertainment,"Jan 23, 2018","Jan 23, 2018","Jan 23, 2018",
1155,The Idolmaster Platinum Stars,"Music
rhythm",Bandai Namco Entertainment,Bandai Namco Entertainment,"Jul 28, 2016",Unreleased,Unreleased,
1156,The Idolmaster: Starlit Season,"Music
rhythm",Bandai Namco Entertainment,Bandai Namco Entertainment,2021,Unreleased,Unreleased,
1157,The Idolmaster: Stella Stage,"Music
rhythm",Bandai Namco Entertainment,Bandai Namco Entertainment,"Dec 21, 2017",Unreleased,Unreleased,
1158,Ikaruga,Shoot 'em up,Treasure,Nicalis,"Jun 29, 2018","Jun 29, 2018","Jun 29, 2018",
1159,Ikenfell,Tactical role-playing,Happy Ray Games,Humble Games,Unreleased,"Oct 8, 2020","Oct 8, 2020",
1160,Illusion of L'Phalcia,Role-playing,Exe Create,Kemco,"Jul 3, 2019","Aug 21, 2019","Aug 6, 2019",
1161,Immortal Planet,Action role-playing,Teedoubleu Games,Monster Couch,Unreleased,"Dec 6, 2019","Dec 6, 2019",
1162,Immortal Realms: Vampire Wars,Turn-based strategy,Palindrome,Kalypso Media,Unreleased,"Aug 28, 2020","Aug 28, 2020",P
1163,Immortal Redneck,Shooter,CremaGames,CremaGames,"Feb 28, 2018","Feb 27, 2018","Feb 27, 2018",
1164,Immortal: Unchained,Action role-playing,Toadman Interactive,Game Odyssey,"Aug 29, 2019","Sep 7, 2018","Sep 7, 2018",
1165,Immortals Fenyx Rising,Action-advnture,Ubisoft Quebec,Ubisoft,"Dec 3, 2020","Dec 3, 2020","Dec 3, 2020",
