,Title,Genre,Developer,Publisher,Release date JP,Release date EU,Release date NA,Addons
2422,Super Time Force Ultra,"Shooter, side-scroller",Capybara Games,Capybara Games,"May 11, 2016","Sep 1, 2015","Sep 1, 2015",
2423,Super Toy Cars,Racing,Eclipse Games,Eclipse Games,Unreleased,"Jan 5, 2016","Jan 5, 2016",
2424,Supraland,"Platformer
puzzle
action",Supra Games,Humble Games,"Oct 22, 2020","Oct 22, 2020","Oct 22, 2020",
2425,The Surge,Action role-playing,Deck13,Focus Home Interactive,"Nov 30, 2017","May 16, 2017","May 16, 2017",P
2426,The Surge 2,Action role-playing,Deck 13,Focus Home Interactive,"Dec 19, 2019","Sep 24, 2019","Sep 24, 2019",
2427,Surgeon Simulator,Simulation,Bossa Studios,Bossa Studios,Unreleased,"Aug 13, 2014","Aug 12, 2014",C
2428,The Survivalists,"Strategy
survival",Team17,Team17,"Oct 9, 2020","Oct 9, 2020","Oct 9, 2020",
2429,Surviving Mars,"Simulation
city-building",Haemimont Games,Paradox Interactive,Unreleased,"Mar 15, 2018","Mar 15, 2018",P
2430,Surviving the Aftermath,"Simulation
city-building",Iceflake Studios,Paradox Interactive,Unreleased,2020,2020,
2431,"<span data-sort-value=""Sushi Spinnery !"">The Sushi Spinnery",Simulation,Kairosoft,Kairosoft,"Oct 21, 2020","Oct 22, 2020","Oct 22, 2020",
2432,The Swapper,"Platform
puzzle",Curve Studios,Facepalm Games,"Nov 4, 2015","Aug 6, 2014","Aug 5, 2014",
2433,Swimsanity!,Shooter,Decoy Games,Decoy Games,Unreleased,TBA,TBA,
2434,The Swindle,"Platform, stealth",Size Five Games,Curve Digital,Unreleased,"Jul 28, 2015","Jul 28, 2015",
2435,Switch Galaxy Ultra,Racing,Atomicom,Atomicom,Unreleased,"Dec 17, 2014","Dec 23, 2014",CP
2436,Sword & Fairy 6,Role-playing,Softstar,EastAsiaSoft,Unreleased,"Apr 3, 2019","Apr 2, 2019",
2437,Sword Art Online: Alicization Lycoris,Role-playing,Aquria,Bandai Namco,"Jul 9, 2020","Jul 10, 2020","Jul 10, 2020",
2438,Sword Art Online: Fatal Bullet,"Role-playing
shooter",Dimps,Bandai Namco,"Feb 8, 2018","Feb 23, 2018","Feb 23, 2018",
2439,Sword Art Online Re: Hollow Fragment Director's Cut,Role-playing,Aquria,Bandai Namco,"Nov 19, 2015","Aug 4, 2015","Jul 28, 2015",
2440,Sword Art Online: Hollow Realization,Role-playing,Bandai Namco,Bandai Namco,"Oct 27, 2016","Nov 8, 2016","Nov 8, 2016",P
2441,Sword Art Online: Lost Song,Role-playing,Artdink,Bandai Namco,"Nov 19, 2015","Nov 13, 2015","Nov 17, 2015",
2442,Sword Coast Legends,Role-playing,n-Space / Digital Extremes,Digital Extremes,Unreleased,"Jul 19, 2016","Jul 19, 2016",
2443,Swords & Soldiers II: Shawarmageddon,Real-time strategy,Ronimo Games,Ronimo Games,Unreleased,"Nov 13, 2018","Nov 13, 2018",
2444,The Swords of Ditto,Action role-playing,One Bit Beyond,Devolver Digital,"May 10, 2018","Apr 24, 2018","Apr 24, 2018",
2445,Sword of the Necromancer,"Roguelike
role-playing",Grimorio of Games,JanduSoft,Unreleased,"Dec 10, 2020","Dec 10, 2020",
2446,Syberia 3,Adventure,Anuman,Microïds,Unreleased,"Apr 20, 2017","Apr 25, 2017",
2447,Syrup and The Ultimate Sweet,Visual novel,Nom Nom Nami,Ratalaika Games,Unreleased,"Mar 4, 2020","Mar 4, 2020",
2448,System Shock,Action role-playing,Night Dive Studios,Night Dive Studios,Unreleased,2020,2020,
2449,Table Top Racing: World Tour,Racing,Playrise Digital,Playrise Digital,"Jul 6, 2016","May 3, 2016","May 3, 2016",
2450,Tachyon Project,Shooter,Eclipse Games,Eclipse Games,"Aug 22, 2017","Jan 19, 2016","Jan 19, 2016",
2451,Taiko no Tatsujin: Drum Session!,Rhythm,Bandai Namco,Bandai Namco,"Oct 26, 2017","Nov 2, 2018","Nov 2, 2018",
2452,The TakeOver,Beat'em up,Pelikan13,Pelikan13,TBA,TBA,TBA,
2453,Tales from the Borderlands,Graphic adventure,Telltale Games,Telltale Games,Unreleased,"Nov 26, 2014","Nov 26, 2014",
